angle;cd;cl;cm;fx;fy;mz
-0.40084001504;0.0251648667669;-0.0299222079726;-0.00168727643904;0.100129212202;-0.119058333962;-0.000503516456613
-0.879440043073;0.0291824417855;-0.0562451207872;-0.00138580014915;0.116114857002;-0.223795328893;-0.000413550005519
-1.35284926519;0.0234423982252;-0.0930565419516;-0.00149711043173;0.0932756325779;-0.37026535138;-0.000446767181893
-1.84455936466;0.0209314862324;-0.121255831875;0.00118822573638;0.0832848926278;-0.482468317157;0.00035458991698
-2.325282281;0.0172735407248;-0.152515690547;-0.00365357637033;0.0687301880331;-0.606849067965;-0.00109029900815
-2.79159786039;0.0210339442387;-0.181627497512;-0.0071909143522;0.0836925657359;-0.722682874047;-0.00214591019625
-3.26912079974;0.0164358145955;-0.218782233348;0.00678137587163;0.0653969354415;-0.870518921155;0.00202369586325
-3.74762637209;0.0134714161092;-0.261290183067;0.00893624659335;0.0536018050385;-1.03965502496;0.00266675164543
-4.25345210966;0.0108786750931;-0.293302866292;0.00679434844783;0.0432854732341;-1.16703121103;0.002027567135
-4.72735444822;0.00755796431246;-0.325322045892;0.00451545476576;0.0300726015945;-1.29443324572;0.0013475004635
-5.23487247623;0.00710231513371;-0.350158880956;0.00321349620436;0.0282596059712;-1.39325724314;0.00095897043586
-5.70370154729;0.00268866600101;-0.381234955246;-0.00142025769466;0.0106980104862;-1.51690672898;-0.000423832814437
-6.18762939382;-0.00111051123973;-0.407038261539;0.00268240497733;-0.00441864511367;-1.61957624658;0.000800482373923
-6.71473322921;0.000583936819387;-0.43448402154;0.000454436131987;0.00232344300658;-1.72878097048;0.000135612674747
-7.17605093992;-0.00501689489088;-0.445287359562;0.00253143896415;-0.0199618673835;-1.77176668287;0.000755431148016
-7.63736447258;0.0134518502078;-0.439743862756;0.014075004025;0.0535239537108;-1.74970950398;0.00420025787684
-8.14635177759;0.0276076083493;-0.428829825575;0.0192318261001;0.109848706945;-1.70628332752;0.00573915495297
-8.64225467538;0.0341206825806;-0.424022189617;0.0358280165955;0.135763765342;-1.68715408652;0.0106917844322
-9.11837561368;0.0393750905432;-0.407056702844;0.0375626690722;0.156670680318;-1.61964962322;0.0112094388297
-9.65468035207;0.0388239171618;-0.409429393833;0.0410905387469;0.154477600697;-1.62909039164;0.0122622244888
-12.1391850707;0.0451987758593;-0.471356447405;0.0480785258089;0.17984270933;-1.87549372632;0.0143475771927
-14.6434481146;0.0426789760917;-0.548270319267;0.0586812958004;0.169816605557;-2.18152854337;0.0175116521794
-17.1622385338;0.0429827210901;-0.624660503733;0.0802791733772;0.171025185268;-2.48547964557;0.023956883403
-19.7620436338;0.0454759418427;-0.658900874999;0.0870288085963;0.180945533034;-2.62171964367;0.0259711072316
-22.4376478557;0.0505624800032;-0.694309880668;0.0947216954544;0.201184506026;-2.7626095548;0.028266815891
-25.0867450467;0.0602917062709;-0.743487021643;0.103972635546;0.239896404267;-2.95828189552;0.0310274782623
-27.7286017133;0.0569429160384;-0.79084903243;0.115006539424;0.226571806489;-3.14673196252;0.0343202120756
-30.3485077807;0.0550500034108;-0.915048679446;0.151049822262;0.219040041988;-3.64091351042;0.0450762361862
-32.8564187058;0.0504478599817;-1.02842217798;0.174488250162;0.200728441126;-4.09201858473;0.0520707238063
-35.4257787529;0.0424595543362;-1.13785125514;0.204597598264;0.168943542023;-4.52742908739;0.061055945147
-38.0327824077;0.0396081639848;-1.22948633645;0.229943989959;0.157598062939;-4.89203854813;0.0686198066687
-40.6085580395;0.0323443780383;-1.35602541595;0.27352003368;0.128695976106;-5.39552853124;0.0816237547001
-43.2159514885;0.0238515989331;-1.34475396762;0.266819998598;0.0949038130445;-5.35068024124;0.0796243325275
-45.7506631918;0.0177729377803;-1.4569392297;0.301140045495;0.0707172533414;-5.79705740738;0.089866109159
-48.383826274;0.0157196777255;-1.5542380547;0.335215297411;0.062547477851;-6.18420250077;0.100034834156
-50.965738508;0.0091195507635;-1.52924704082;0.335730232206;0.0362860428408;-6.08476503684;0.100188500821
-48.4846120062;0.0158339510192;-1.5122965091;0.323568693194;0.0630021631461;-6.01732007864;0.0965592585178
-45.8533663303;0.0253330048477;-1.49268846254;0.308389403789;0.100798221648;-5.93930105817;0.0920294601764
-43.3184383516;0.0332841087379;-1.34945385522;0.258657678394;0.132435097616;-5.36938075922;0.0771885357298
-40.7100095471;0.0306537306433;-1.34040122223;0.256043638239;0.121969010557;-5.33336097744;0.0764084547627
-38.1287458963;0.0385084250129;-1.22941639966;0.22429066787;0.153222279911;-4.89176027461;0.0669327442288
-35.4939892734;0.0381711988402;-1.15942068723;0.202243030388;0.151880480993;-4.61325232111;0.0603532958083
-32.9124416307;0.0463442621381;-1.02465365097;0.16810084973;0.184400517633;-4.07702388421;0.0501645979588
-30.4447710461;0.0529962595031;-0.957692847326;0.145363119188;0.210868341281;-3.81059161658;0.0433792122041
-27.8426649047;0.0526845194606;-0.842906763345;0.122877788469;0.20962794986;-3.35386596541;0.0366691475179
-25.2205252664;0.0497972360813;-0.738340441314;0.104660423998;0.198139654974;-2.93780401902;0.0312327278566
-22.5863358884;0.0458653811716;-0.703085186515;0.0921219712959;0.182495084381;-2.79752587164;0.0274910070987
-19.9690719762;0.0368185702131;-0.686097730465;0.0885547093174;0.146498468043;-2.72993399415;0.0264264660018
-17.3045932869;0.0353237000713;-0.628905434433;0.0802360201989;0.140550486238;-2.50236992243;0.0239440056463
-14.8053098428;0.0316213998615;-0.568626757347;0.0646909563265;0.125819297443;-2.26252536036;0.0193050530137
