angle;cd;cl;cm;fx;fy;mz
0.00183379042564;0.0224371434184;-0.000929655337218;3.22015561697e-05;0.0924555445898;-0.00383078134682;9.95184310049e-06
-0.432460227358;0.0181231459808;-0.0367746566087;0.0034923624724;0.0746790845914;-0.151535373307;0.00107930943437
-0.876184680521;0.0225977288874;-0.0580678036281;-0.000338477206946;0.0931172605982;-0.239276912727;-0.000104605878016
-1.32813079757;0.0233952568173;-0.0935125997552;-0.00256141546852;0.0964035915591;-0.385332400615;-0.000791601645695
-1.81936942395;0.0196714426071;-0.126750635755;-0.00402055682693;0.0810590682239;-0.522294609311;-0.00124254711503
-2.31465162398;0.0221511884843;-0.160326596617;-0.00458706550981;0.091277225288;-0.660649287033;-0.00141762578195
-2.77957336752;0.0187822981376;-0.193411744496;-0.00504813324211;0.0773952178571;-0.796981497776;-0.00156011807973
-3.25076865325;0.0232098167578;-0.232086217081;-0.00890282050858;0.09563945856;-0.956345341823;-0.00275140345349
-3.730771902;0.0150672833339;-0.263588419653;-0.00587219682882;0.0620869537689;-1.08615479395;-0.0018147937071
-4.23014035315;0.014444312892;-0.299054404161;-0.00998136146965;0.0595199125732;-1.23229759168;-0.00308472493539
-4.72372106867;0.00866118404997;-0.335290140697;-0.0105634693201;0.0356896808653;-1.38161226568;-0.00326462450189
-5.21317251674;0.00833891263333;-0.366152447443;-0.00616866822932;0.034361714164;-1.50878493309;-0.00190641775303
-5.70060693594;0.00920985586973;-0.401375890972;-0.00524434016511;0.0379505636769;-1.65392830509;-0.00162075553783
-6.18187475964;-0.000202140235649;-0.429497568826;-0.00503432590498;-0.000832948527443;-1.76980780865;-0.0015558509427
-6.67719162072;-0.00625748065372;-0.454396432201;-0.00535983572828;-0.0257848680115;-1.87240723185;-0.00165644927006
-7.17496485496;-0.00416068471037;-0.467147635632;-0.00346953179568;-0.0171447123901;-1.92495043824;-0.00107225364764
-7.67562471904;0.0145398224107;-0.453334724314;0.0147004851025;0.0599134735714;-1.86803230858;0.00454316308411
-8.12950192788;0.0255476580188;-0.443455338375;0.0243607818103;0.105272876813;-1.82732284793;0.00752866343178
-8.6356565592;0.0363230477355;-0.428038395672;0.0294550296978;0.149674452622;-1.76379507138;0.00910303317416
-9.11479782333;0.0388207695295;-0.41289175792;0.0267567907369;0.159966682091;-1.70138112607;0.0082691464314
-9.60982940447;0.0439878052196;-0.418297263991;0.0288161467387;0.181258211486;-1.7236553077;0.00890558734468
-10.0940972008;0.0445893889196;-0.422326227586;0.0278862580637;0.183737125471;-1.74025724388;0.00861820663098
-10.5825118373;0.0460393533743;-0.438249495465;0.0321326387113;0.189711916949;-1.80587140768;0.00993054426233
-11.114326968;0.0528776901148;-0.434971558323;0.0354013251603;0.217890287771;-1.79236418629;0.0109407269539
-11.6180116701;0.0442639208542;-0.450084427207;0.0384031194576;0.182395986509;-1.85463898201;0.0118684270225
-12.1235524394;0.0440359161566;-0.472612100663;0.0447016814901;0.181456459668;-1.94746756892;0.0138149882624
-12.6233693742;0.043693136769;-0.487371626935;0.0416162130686;0.18004398686;-2.00828636451;0.0128614288301
-13.114390478;0.043107914488;-0.507103513676;0.0475504123224;0.177632492506;-2.08959450167;0.0146953842945
-13.6015767807;0.0352208410774;-0.521472224049;0.0484880266986;0.145132648216;-2.14880288296;0.0149851526247
-14.1106306577;0.0388260808014;-0.523873949685;0.0455764753887;0.159988567967;-2.15869954616;0.0140853420173
-14.6185636972;0.0359071914351;-0.548772709884;0.0571785381021;0.147960855663;-2.26129854421;0.0176709422647
-15.1287354674;0.0411493817241;-0.570773150566;0.0617889544707;0.16956207062;-2.35195459104;0.0190957845948
-15.6525414761;0.043415138824;-0.575282352398;0.0596214804866;0.178898455501;-2.37053541941;0.0184259299797
-16.1471549163;0.0365113817197;-0.591853773128;0.061789049009;0.150450510463;-2.43882039222;0.0190958138118
-16.6443805909;0.0388542983047;-0.604481351571;0.0686361387711;0.160104842333;-2.49085418369;0.0212118967317
-17.1504975904;0.0414987639792;-0.612713808022;0.0685879728116;0.171001751513;-2.52477722952;0.0211970111135
-17.6521877623;0.0411928985554;-0.613033109149;0.0693153865435;0.169741388115;-2.52609295671;0.0214218172468
-18.1998675742;0.0423761156265;-0.627023823412;0.0696374842043;0.174617007824;-2.58374374952;0.0215213610504
-18.721564423;0.0411402596554;-0.636474105323;0.0732505153485;0.169524481797;-2.622685024;0.0226379629586
-19.2691659885;0.0450768962628;-0.644901898776;0.0742094259699;0.185745971074;-2.65741298464;0.0229343128617
-19.7960819565;0.0482938213845;-0.641383759883;0.0730570509533;0.199001783478;-2.64291597665;0.0225781730746
-19.2987215613;0.0495639586897;-0.637350587526;0.0688923983132;0.204235570778;-2.62629669764;0.0212910933625
-18.8513572078;0.0500506043456;-0.636887896242;0.0760565288666;0.206240865672;-2.62439011025;0.0235051572681
-18.3225730222;0.0471764647189;-0.63211274706;0.0752260023464;0.194397551242;-2.60471340677;0.0232484842808
-17.7974181915;0.0422014482752;-0.618926931607;0.0694741241693;0.173897265351;-2.55037931772;0.0214708748742
-17.3002939189;0.0419848238805;-0.613522505884;0.0681212043754;0.173004632719;-2.52810958783;0.0210527570217
-16.8012499343;0.0430283644758;-0.601962635327;0.0646454719539;0.177304694998;-2.48047544351;0.0199785870798
-16.2784886136;0.0383822395431;-0.5900529612;0.0625814870116;0.158159654879;-2.4313998822;0.0193407155993
-15.7535179414;0.0333178043302;-0.580646579231;0.0638042977325;0.137290905818;-2.39263950387;0.0197186234362
